English,Polski
fight,walka
past,przeszłość
cut,skaleczenie
quite,całkiem
number,numer
he'll,piekło
sick,chory
S.,S.
it'll,będzie
game,gra
eat,jeść
nobody,nikt
goes,idzie
death,śmierć
along,wzdłuż
save,zapisać
seems,wydaje się
finally,Wreszcie
lives,zyje
worried,zmartwiony
upset,zdenerwowany
Theresa,Theresa
Carly,Carly
Ethan,Ethan
met,spotkał
book,książka
brought,przyniósł
seem,wydać się
sort,sortować
safe,bezpieczny
living,życie
children,dzieci
weren't,nie było
leaving,odejście
front,z przodu
shot,strzał
loved,kochał
asking,prosząc
running,bieganie
clear,jasny
figure,postać
hot,gorąco
felt,poczuł
six,sześć
parents,rodzice
drink,drink
absolutely,absolutnie
how's,jak
daddy,tatuś
sweet,Słodkie
alive,żywy
Paul,Paweł
sense,sens
meant,Oznaczało
happens,dzieje się
David,David
special,specjalny
bet,Zakład
blood,krew
ain't,nie jest
kidding,żartuję
lie,kłamstwo
full,pełny
meeting,spotkanie
dear,drogi
coffee,Kawa
seeing,widzenie
sound,dźwięk
fault,wina
water,woda
fuck,pierdolić
ten,dziesięć
women,kobiety
John or john,John czy John
welcome,Witamy
buy,Kup
months,miesięcy
hour,godzina
speak,mówić
lady,dama
Jen,Jen
thinks,myśli
Christmas,Boże Narodzenie
body,ciało
order,zamówienie
outside,na zewnątrz
hang,powiesić
possible,możliwy
worse,gorzej
company,firma
mistake,błąd
ooh,ooh
handle,uchwyt
spend,wydać
C.,DO.
totally,całkowicie
giving,dający
control,kontrola
here's,oto
marriage,związek małżeński
realize,realizować
D.,RE.
power,moc
president,prezydent
unless,chyba że
sex,seks
girls,dziewczyny
send,wysłać
needed,potrzebne
O. or o,Lub O O.
taken,wzięty
died,zmarły
scared,przestraszony
picture,obrazek
talked,rozmawialiśmy
Jake,Jake
Al,Glin
ass,tyłek
hundred,sto
changed,zmieniony
completely,całkowicie
explain,wyjaśnić
playing,gra
certainly,na pewno
sign,znak
boys,chłopców
relationship,związek
Michael,Michael
loves,miłości
fucking,pierdolony
hair,włosy
lying,kłamstwo
choice,wybór
anywhere,gdziekolwiek
secret,sekret
future,przyszłość
weird,dziwne
luck,szczęście
she'll,muszla
Max or max.,Max lub max.
Luis,Luis
turned,obrócony
known,znany
touch,dotknąć
kiss,pocałunek
Crane or crane,Dźwig lub żuraw
questions,pytania
obviously,oczywiście
wonder,cud
pain,ból
calling,powołanie
somewhere,gdzieś
throw,rzucać
straight,prosto
Grace or grace,Grace i Grace
cold,zimno
white or White,białe lub białe
fast,szybki
Natalie,Natalie
words,słowa
R.,R.
food,jedzenie
none,Żaden
drive,napęd
feelings,uczucia
they'll,Będą
worked,pracował
marry,ożenić
light,lekki
test,test
drop,upuszczać
cannot,Nie mogę
Frank,Szczery
sent,przesyłane
city,Miasto
dream,śnić
protect,ochraniać
twenty,dwadzieścia
class,klasa
Lucy,Lucy
surprise,niespodzianka
its,jego
sweetheart,kochanie
forever,na zawsze
poor,ubogi
looked,wyglądał
mad,szalony
except,z wyjątkiem
gun,pistolet
y'know,Ty wiesz
dance,taniec
takes,trwa
appreciate,doceniać
especially,szczególnie
situation,sytuacja
besides,oprócz
weeks,tydzień
pull,Ciągnąć
himself,samego siebie
hasn't,nie ma
act,akt
worth,wartość
Sheridan,Sheridan
amazing,niesamowity
top,Top
given,dany
expect,oczekiwać
Ben,Ben
rather,raczej
Julian,juliański
involved,zaangażowany
swear,przysięgać
piece,kawałek
busy,zajęty
law,prawo
decided,zdecydowany
black or Black,czarny lub czarny
Joey,Joey
happening,wydarzenie
movie,film
we'd,poślubić
catch,łapać
Antonio,Antonio
country,kraj
less,mniej
perhaps,być może
step,krok
fall,spadek
watching,oglądanie
kept,trzymane
darling,kochanie
dog,pies
Ms.,SM.
win,zdobyć
air,powietrze
honor,honor
personal,osobisty
moving,w ruchu
till,do
admit,przyznać
problems,problemy
murder,morderstwo
strong,silny
he'd,miał
evil,zło
definitely,Zdecydowanie
feels,czuje
information,Informacja
honest,szczery
eye,oko
broke,zepsuł się
missed,nieodebranych
longer,dłużej
dollars,dolarów
tired,zmęczony
Jason,Jason
George,Jerzy
evening,wieczór
human,człowiek
starting,startowy
Ross,Ross
red,czerwony
entire,Cały
trip,wyjazd
Brooke,Brooke
E.,MI.
club,Klub
Niles,Niles
suppose,przypuszczać
calm,spokojna
imagine,wyobrażać sobie
Todd,Todd
fair,targi
caught,złapany
B.,B.
blame,winić
street,ulica
sitting,posiedzenie
favor,przysługa
apartment,apartament
court,Sąd
terrible,straszny
clean,czysty
Tony or tony,Tony lub tony
learn,uczyć się
Alison,Alison
Rick,Stóg
works,Pracuje
Rose or rose,Rose lub Rose
Frasier,Frasier
relax,zrelaksować się
York,York
million,milion
charity,dobroczynność
accident,wypadek
wake,budzić
prove,okazać się
Danny,Danny
smart,mądry
message,wiadomość
missing,brakujący
forgot,zapomniałem
small,mały
interested,zainteresowany
table,stół
nbsp,nbsp
become,stają się
Craig,Craig
mouth,usta
pregnant,w ciąży
middle,środkowy
Billy or billy,Billy Billy lub
ring,pierścień
careful,ostrożny
shall,powinien
dude,koleś
team,zespół
ride,jazda
figured,wzorzysty
wear,nosić
shoot,strzelać
stick,kij
Ray or ray,Ray lub ray
follow,podążać
Bo,Bo
angry,zły
instead,zamiast
buddy,kumpel
write,pisać
stopped,zatrzymany
early,wcześnie
Angel or angel,Anioł czy anioł
Nick or nick,Nick lub nick
ran,biegł
war,wojna
standing,na stojąco
forgive,Wybacz
jail,więzienie
wearing,ma na sobie
Miguel,Miguel
ladies,damski
kinda,trochę
lunch,lunch
Cristian,Cristian
eight,osiem
Greenlee,Greenlee
gotten,zdobyć
hoping,nadzieję
Phoebe,Phoebe
thousand,tysiąc
ridge,grzbiet
music,muzyka
Luke,Łukasz
paper,papier
tough,twardy
tape,taśma
Emily,Emilia
state,stan
count,liczyć
college,Szkoła Wyższa
boyfriend,chłopak
proud,dumny
agree,Zgodzić się
birthday,urodziny
bill,rachunek
seven,siedem
they've,oni
Timmy,Timmy
history,historia
share,dzielić
offer,oferta
hurry,pośpiech
ow,OW
feet,stóp
wondering,pełen zdumienia
simple,prosty
decision,decyzja
building,budynek
ones,te
finish,koniec
voice,głos
herself,się
Chris,Chris
would've,would''ve
list,lista
Kay,Kay
mess,bałagan
deserve,zasłużyć
evidence,dowód
cute,uroczy
Jerry,Nocnik
dress,sukienka
Richard,Richard
interesting,ciekawy
Jesus,Jezus
James,James
hotel,hotel
enjoy,cieszyć się
Ryan,Ryan
Lindsay,Lindsay
quiet,cichy
concerned,zaniepokojony
road,Droga
Eve or eve,Eve lub eve
staying,przebywający
short,krótki
M.,M.
beat,bić
sweetie,kochanie
mention,wzmianka
clothes,ubranie
finished,skończone
fell,spadł
neither,ani
mmm,mmm
fix,naprawić
Victor or victor,Victor lub victor
respect,szacunek
spent,wydany
prison,więzienie
attention,Uwaga
holding,trzymać
calls,połączenia
near,Blisko
surprised,zaskoczony
bar,bar
Beth,Beth
pass,przechodzić
keeping,konserwacja
gift,prezent
hadn't,nie miał
putting,oddanie
dark,ciemny
self,samego siebie
owe,zawdzięczać
using,za pomocą
Nora,Nora
ice,lód
helping,porcja jedzenia
bitch,suka
normal,normalna
aunt,ciocia
lawyer,prawnik
apart,niezależnie
certain,pewny
plans,plany
Jax,Jax
girlfriend,dziewczyna
floor,piętro
whether,czy
everything's,wszystkie rzeczy
present,teraźniejszość
earth,Ziemia
private,prywatny
Jessica,Jessica
box,pudełko
Dawson,Dawson
cover,pokrywa
judge,sędzia
upstairs,na górę
Alexis,Alexis
Shawn,Shawn
sake,wzgląd
mommy,mamusia
possibly,możliwie
worst,najgorszy
